agency_id,route_color,route_id,route_long_name,route_short_name,route_text_color,route_type
3,0000ff,10593,L822 Sidel || L822 Estacion  Av. 1 de Mayo,LL822,ffffff,3
3,0000ff,10594,Zona Franca ||  Arabia,P39,ffffff,3
3,0000ff,10595,L822 Sidel || L822 Estacion  Av. 1 de Mayo,LL822,ffffff,3
3,0000ff,10599,Museo Nacional ||  Gaviotas,T43A,ffffff,3
3,0000ff,10600,Museo Nacional ||  Gaviotas Ciclovía,T43A,ffffff,3
3,0000ff,10609,K211 Salitre Greco || D211 Gran Granada,DK211,ffffff,3
3,0000ff,10610,F407 Banderas || F407 La Magdalena,FF407,ffffff,3
3,0000ff,10611,L716 Est. Av. 1 de Mayo  || H716 Molinos II,HL716,ffffff,3
3,0000ff,10615,Porvenir,P7,ffffff,3
3,0000ff,10619,A214 Parkway || D214 Bachue,DA214,ffffff,3
3,0000ff,10620,A214 Parkway || D214 Bachue Ciclovía,DA214,ffffff,3
3,0000ff,10624,Altamira ||  Portal 20 de Julio,13-8,ffffff,3
3,0000ff,10625,Pinares,P7,ffffff,3
3,0000ff,10629,Fontibon Brisas,K810,ffffff,3
3,0000ff,10630,Gaviotas,L810,ffffff,3
3,0000ff,10631,L807 San Blas || G807 Bosa Carbonell,LG807,ffffff,3
3,0000ff,10632,Porciuncula ||  Fontibon San Pablo,12,ffffff,3
3,0000ff,10633,K206 Gobernación || D206 Bachué,DK206,ffffff,3
3,0000ff,10650,Montebello ||  Est. Av. 1 de Mayo,T27,ffffff,3
3,0000ff,10651,Montebello ||  Est. Av. 1 de Mayo Festivo,T27,ffffff,3
3,0000ff,10653,Ramajal ||  Est. Av. 1 de Mayo,15-4,ffffff,3
3,0000ff,10657,G525 Bosa Estación || G525 Porvenir,GG525,ffffff,3
3,0000ff,10659,K542 Est. Modelia || G542 Metrovivienda,GK542,ffffff,3
3,0000ff,10660,A215 Germania || D215 Bachue,DA215,ffffff,3
3,0000ff,10664,F511 Portal Américas || G511 Porvenir,GF511,ffffff,3
3,0000ff,10666,Marly ||  Bachué,193B,ffffff,3
3,0000ff,10667,F512 Portal Américas || G512 Parques de Bogotá,GF512,ffffff,3
3,0000ff,10671,A600 Chapinero || H600 Jerusalén,HA600,ffffff,3
3,0000ff,10673,A215 Germania || D215 Bachue Ciclovía,DA215,ffffff,3
3,0000ff,10674,Villa Amalia ||  Portal Eldorado,16-5,ffffff,3
3,0000ff,10676,Diana Turbay,H408,ffffff,3
3,0000ff,10684,Florida ||  Est. Granja KR 77,5-4,ffffff,3
3,0000ff,10687,Marly ||  Bachue Ciclovía,193B,ffffff,3
3,0000ff,10689,F603 Corabastos || H603 Santo Domingo,HF603,ffffff,3
3,0000ff,10690,Chapinero ||  Bachue,59B,ffffff,3
3,0000ff,10697,Cantón Norte ||  Suba Corpas,T21,ffffff,3
